2018-04-20 19:55:45,b'RT @ReadHollyWood: #SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',London
2018-04-20 19:55:43,b'RT @CrookedAlli: Everybody\xe2\x80\x99s calling you darlin and the flower shop is also the tanning salon \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #SignsYoureInMyHometown',London
2018-04-20 19:55:42,b'RT @ZarrarSalahPTI: #SignsYoureInMyHometown\nThe streets are filled with truly delicious food to eat...',London
2018-04-20 19:55:41,b'RT @Joyannah73: Lots of tats. Less of teeth #SignsYoureInMyHometown',London
2018-04-20 19:55:39,b'Finding Nemo wasn\xe2\x80\x99t just a movie.  #SignsYoureInMyHometown',London
2018-04-20 19:55:37,"b""#SignsYoureInMyHometown all the people have a gif you've laughed at... https://t.co/x4HPul6sxN""",London
2018-04-20 19:55:32,b'RT @jswilliams1962: There\xe2\x80\x99s rednecks everywhere \n\n#SignsYoureInMyHometown',London
2018-04-20 19:55:25,b'#SignsYoureInMyHometown people always gossiping',London
2018-04-20 19:55:24,b'RT @klf113: You can walk to the beach to see the sunset \n#SignsYoureInMyHometown https://t.co/W6YbPOj0ZB',London
2018-04-20 19:55:18,b'Ugly Lucy!  #SignsYoureInMyHometown https://t.co/UKns1YlMpO',London
2018-04-20 19:55:17,"b'#SignsYoureInMyHometown\nDrivers of pickup trucks feel turn signals are ""gay"" and don\'t have to use them'",London
2018-04-20 19:55:15,b'RT @bridgetdoran: Someone will always say it\xe2\x80\x99s \xe2\x80\x9cThe city that rhymes with fun\xe2\x80\x9d #SignsYoureInMyHometown',London
2018-04-20 19:55:09,"b""#SignsYoureInMyHometown If you're sick, every old lady in town brings you soup.""",London
2018-04-20 19:55:04,b'#SignsYoureInMyHometown\nPeople hold doors open for each other all the time.',London
2018-04-20 19:54:57,b'RT @Be_loved_Freak: #SignsYoureInMyHometown\nEveryone has the same religion. Go Sox!! https://t.co/VjsxLpcqxl',London
2018-04-20 19:54:56,b'You smell urine - #SignsYoureInMyHometown',London
2018-04-20 19:54:49,b'Jayhawks.\n #SignsYoureInMyHometown https://t.co/0Y46zZy5zv',London
2018-04-20 19:54:48,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",London
2018-04-20 19:54:48,b'RT @SadlyCatless: Not one health food store #SignsYoureInMyHometown https://t.co/aQIX27T3YB',London
2018-04-20 19:54:45,b'RT @VeldLot: #SignsYoureInMyHometown terrace at the pub full at 2am',London
2018-04-20 19:54:38,"b""#SignsYoureInMyHometown\nYou've just spent an hour in traffic getting here.""",London
2018-04-20 19:54:37,"b'RT @Danko_Richards: You\xe2\x80\x99ll see me at 8-years old, running with, a dime in my hand... #SignsYoureInMyHometown'",London
2018-04-20 19:54:36,b'#SignsYoureInMyHometown\nDumpsters are full of wine bottles-',London
2018-04-20 19:54:36,b'#SignsYoureInMyHometown\n\nIt smells like Manure when you go by a Farm in the summer time \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xae https://t.co/l7zSC7YrpS',London
2018-04-20 19:54:36,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',London
2018-04-20 19:54:33,b'RT @_lola_bee: The only traffic jam is a tractor on the road\n#SignsYoureInMyHometown',London
2018-04-20 19:54:33,b'RT @SelinaSuede: You can see an amazing view of the city.#SignsYoureInMyHometown https://t.co/nnnToq94Mu',London
2018-04-20 19:54:30,"b""RT @BeckysKillinIt: #SignsYoureInMyHometown Don't take the G train pass Classon ave! If you're at the Bedford-Nostrand stop.. it's too late\xe2\x80\xa6""",London
2018-04-20 19:54:30,b'RT @DustinG_86: You mostly see scenery &amp; not many businesses\n#SignsYoureInMyHometown',London
2018-04-20 19:54:30,"b'#SignsYoureInMyHometown signs that say ""Frederick, Maryland"" and ""You Are Now In Frederick, Maryland""'",London
2018-04-20 19:54:26,b'RT @MrRaceBannon: Everyone apologizes to you #SignsYoureInMyHometown https://t.co/OuG9sgv7U1',London
2018-04-20 19:54:24,"b""RT @DaSkrambledEgg: You're looking for other towns to go to #SignsYoureInMyHometown""",London
2018-04-20 19:54:24,b'#SignsYoureInMyHometown People call the law on you if you are NOT carrying a firearm!',London
2018-04-20 19:54:23,"b'RT @HelenMaryMe: #SignsYoureInMyHometown\n\nYou get mugged when you stop to take a picture of the Empire State Building, but a passing Good S\xe2\x80\xa6'",London
2018-04-20 19:54:22,b'#SignsYoureInMyHometown\nYou hear banjo music https://t.co/22mFHH5NAs',London
2018-04-20 19:54:18,b'RT @heyjacqui_: Your football teams sucks so you throw a 0-16 Perfect Season Parade. #SignsYoureInMyHometown @Browns https://t.co/XFFNZX3uqz',London
2018-04-20 19:54:15,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',London
2018-04-20 19:54:14,b'RT @viewfrommyoffic: #SignsYoureInMyHometown  It is still snow covered in April',London
2018-04-20 19:54:08,b'RT @bridgetdoran: Someone will always say it\xe2\x80\x99s \xe2\x80\x9cThe city that rhymes with fun\xe2\x80\x9d #SignsYoureInMyHometown',London
2018-04-20 19:54:08,b'RT @sunkisseeddd: #SignsYoureInMyHometown\nThe view is breathtaking https://t.co/zeLkaPuML2',London
2018-04-20 19:54:07,b'You are a cow \xf0\x9f\x90\x84#SignsYoureInMyHometown',London
2018-04-20 19:54:07,b'RT @heyjacqui_: Your football teams sucks so you throw a 0-16 Perfect Season Parade. #SignsYoureInMyHometown @Browns https://t.co/XFFNZX3uqz',London
2018-04-20 19:54:04,"b""#SignsYoureInMyHometown you'll come across 30 year old men in full Adidas tracksuits and women with 3 different kids of 3 different colour""",London
2018-04-20 19:54:04,"b'RT @SadlyCatless: Everything is within walking distance, but people drive everywhere anyway. #SignsYoureInMyHometown'",London
2018-04-20 19:54:03,"b'an owl is prolly made a nest in your hair and everybody calls you ""kom\xc5\xa1ija"" #SignsYoureInMyHometown'",London
2018-04-20 19:54:00,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",London
2018-04-20 19:53:56,b'#SignsYoureInMyHometown When the flowers become more frequent and the road rises.',London
2018-04-20 19:53:53,b'RT @WonderKat365: #SignsYoureInMyHometown everyone is doing crazy hand gestures \xe2\x9d\xa4\xf0\x9f\x8c\xb0 https://t.co/hD4XBBckam',London
2018-04-20 19:53:52,"b'Ugly streets, nice sunset. #SignsYoureInMyHometown https://t.co/9zpBIlIYQW'",London
2018-04-20 19:53:50,"b""RT @PMLorber: #SignsYoureInMyHometown\n\nThe old pickup you're following doesn't use his turn signal. \n\nHe knows that you know he's turning a\xe2\x80\xa6""",London
2018-04-20 19:53:43,b'RT @Billie_Jean00: More cows than people. #SignsYoureInMyHometown',London
2018-04-20 19:53:42,"b""#SignsYoureInMyHometown You can smell Brighton's rubbish because we got the incinerator against our wishes to burn\xe2\x80\xa6 https://t.co/wN3bt722U8""",London
2018-04-20 19:53:41,b'RT @robyndwoskin: Potholes are everywhere!#SignsYoureInMyHometown https://t.co/Jyaa6FHpW4',London
2018-04-20 19:53:40,b'RT @mamabridgee: #SignsYoureInMyHometown Alot of guys look like this. https://t.co/Mc5pcuVD28',London
2018-04-20 19:53:40,"b' #SignsYoureInMyHometown RT @kevinwxgg: You\'re so envious of those ""rich jerks"" who shop at Sam\'s Club that your family is afraid you\'ll have a stroke. \n #SignsYour\xe2\x80\xa6'",London
2018-04-20 19:53:39,"b' #SignsYoureInMyHometown RT @mina_masters: Non driving fools not using a turn signal, potholes(so many) and ice coffee drinking in the dead of winter. \n#SignsYoureI\xe2\x80\xa6'",London
2018-04-20 19:53:36,b'#SignsYoureInMyHometown: Everything is broken and rundown except the city buildings and churches.',London
2018-04-20 19:53:35,b'RT @genbubn: #SignsYoureInMyHometown\nMosquitoes threaten your life https://t.co/m4ACelHAiT',London
2018-04-20 19:53:34,"b""RT @tweetsbyeddie: It's better than your hometown\n#SignsYoureInMyHometown https://t.co/7GGlDpNEoK""",London
2018-04-20 19:53:26,"b""We have mint for your juleps. You're welcome. #signsyoureinmyhometown https://t.co/ju0ZN1YyAX""",London
2018-04-20 19:53:25,"b""#SignsYoureInMyHometown it's #420day, everyday.\n\nAlso, the mountains.""",London
2018-04-20 19:53:22,"b""RT @RoeGhost: When you've driven past more farm tractors than cars\n#SignsYoureInMyHometown""",London
2018-04-20 19:53:21,b'#SignsYoureInMyHometown Rassilon The Resurrected  is trying to turn all the children into energy beings....and failing miserably!',London
2018-04-20 19:53:17,"b'#SignsYoureInMyHomeTown  ""Pittsburgh"" signs everywhere.'",London
2018-04-20 19:53:17,"b""There's a big hole in the ground people call a grocery store because it will be...in about two years...probably. #SignsYoureInMyHometown""",London
2018-04-20 19:53:16,b'#SignsYoureInMyHometown the never ending  road construction ....',London
2018-04-20 19:53:15,b'Your shirt is stained with butter tarts and Gianetto\xe2\x80\x99s Dip. #SignsYoureInMyHometown\n@BestButterTart',London
2018-04-20 19:53:12,b'#SignsYoureInMyHometown...everyone im related to...lives here... https://t.co/9mA0bEKRh5',London
2018-04-20 19:53:07,b'RT @klf113: You can walk to the beach to see the sunset \n#SignsYoureInMyHometown https://t.co/W6YbPOj0ZB',London
2018-04-20 19:53:05,b'RT @HDArmstrong1: #SignsYoureInMyHometown There are shoes draped over the power lines https://t.co/M0lYH5w9pZ',London
2018-04-20 19:53:02,b'RT @ReadHollyWood: #SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',London
2018-04-20 19:53:01,"b""RT @RoeGhost: When you've driven past more farm tractors than cars\n#SignsYoureInMyHometown""",London
2018-04-20 19:53:00,b'RT @InkpenBandit: We have lots of local breweries. #SignsYoureInMyHometown https://t.co/AVxSQhxQww',London
2018-04-20 19:52:56,"b""#SignsYoureInMyHometown  There is one restaurant, and it's closed.""",London
2018-04-20 19:52:55,"b""RT @VisitSpudonka: #SignsYoureInMyHometown When you get justice.  Street Justice.\n\nWatch, 'It's All In the Cards' coming to #NBC this fall!\xe2\x80\xa6""",London
2018-04-20 19:52:54,"b'RT @Danko_Richards: You\xe2\x80\x99ll see me at 8-years old, running with, a dime in my hand... #SignsYoureInMyHometown'",London
2018-04-20 19:52:54,b'Every Pastor knows where you used to go to church... #SignsYoureInMyHometown',London
2018-04-20 19:52:49,"b""RT @SynnaSlater: #SignsYoureInMyHometown \n\nYou stop by beautiful Reelfoot Lake...and avoid the rest of the town because there's nothing the\xe2\x80\xa6""",London
2018-04-20 19:52:49,b'RT @ResePie20: Driving is a challenge not a privilege. #SignsYoureInMyHometown',London
2018-04-20 19:52:48,b'RT @Moon_River05: #SignsYoureInMyHometown\nExhibit A https://t.co/Rs1z0cFu6b',London
2018-04-20 19:52:44,b'#SignsYoureInMyHometown\nThey named it twice- https://t.co/VOQ6N4eWne',London
2018-04-20 19:52:39,b'#SignsYoureInMyHometown\nfolks whining about folks not wanting pipelines.',London
2018-04-20 19:52:36,b'Lakes everywhere.\xf0\x9f\x9b\xb6\xe2\x9b\xb5\xef\xb8\x8f\xf0\x9f\x9a\xa4\xf0\x9f\x9b\xa5 #SignsYoureInMyHometown',London
2018-04-20 19:52:32,"b'RT @werDofmouth: #SignsYoureInMyHometown tourist traps. But don\xe2\x80\x99t worry, I\xe2\x80\x99ll show you the local spots they don\xe2\x80\x99t tell you about on travel\xe2\x80\xa6'",London
2018-04-20 19:52:31,b'#SignsYoureInMyHometown  When you see this thing https://t.co/N4myNyS8YF',London
2018-04-20 19:52:31,b'#SignsYoureInMyHometown some of the signs have bullet holes in them.',London
2018-04-20 19:52:26,"b'You\'re so envious of those ""rich jerks"" who shop at Sam\'s Club that your family is afraid you\'ll have a stroke. \n #SignsYoureInMyHometown'",London
2018-04-20 19:52:25,b'You have Hell for a basement. #SignsYoureInMyHometown',London
2018-04-20 19:52:25,"b' #SignsYoureInMyHometown RT @mina_masters: Non driving fools not using a turn signal, potholes(so many) and ice coffee drinking in the dead of winter. \n#SignsYoureI\xe2\x80\xa6'",London
2018-04-20 19:52:23,"b""RT @dethbycofee: #SignsYoureInMyHometown\n\nYou're greeted by a large rat https://t.co/8itGuNFJlK""",London
2018-04-20 19:52:23,b'#SignsYoureInMyHometown fields of corn',London
2018-04-20 19:52:21,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',London
2018-04-20 19:52:21,b'#SignsYoureInMyHometown the annual carnival is a man with socks on his hands dancing to country music and a sheep with the shits',London
2018-04-20 19:52:21,"b' #SignsYoureInMyHometown RT @EricFromSpfld: On a regular basis you hear ""That car right there wouldn\'t make it in a tobacco patch I\'ll tell you that right now, son.\xe2\x80\xa6'",London
2018-04-20 19:52:20,b'#SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',London
2018-04-20 19:52:20,"b'#SignsYoureInMyHometown every one says shawty, yaw, and bet. #Atl'",London
2018-04-20 19:52:19,b'#SignsYoureInMyHometown\nLook behind you',London
2018-04-20 19:52:17,"b'RT @Eva_Tramell_: #SignsYoureInMyHometown lip filler, and yoga pants.'",London
2018-04-20 19:52:17,"b'RT @HelenMaryMe: #SignsYoureInMyHometown\n\nYou get mugged when you stop to take a picture of the Empire State Building, but a passing Good S\xe2\x80\xa6'",London
2018-04-20 19:52:17,b'RT @jimishbathia: Nobody gives indicators before turning \n#SignsYoureInMyHometown',London
2018-04-20 19:52:14,b'RT @BeckysKillinIt: #SignsYoureInMyHometown You just better have a pass when you cross that bridge.. Welcome to Brooklyn! https://t.co/DxbE\xe2\x80\xa6',London
2018-04-20 19:52:12,b'RT @sko12: #SignsYoureInMyHometown 1 Traffic Light https://t.co/arZlpbnhjB',London
2018-04-20 19:52:12,"b""It's raining. \n#SignsYoureInMyHometown""",London
2018-04-20 19:52:08,b'RT @genbubn: #SignsYoureInMyHometown\nMosquitoes threaten your life https://t.co/m4ACelHAiT',London
2018-04-20 19:52:08,b'#SignsYoureInMyHometown\nYour glovebox looks like this https://t.co/prvv4M3RSR',London
2018-04-20 19:52:05,"b""RT @PMLorber: #SignsYoureInMyHometown\n\nThe old pickup you're following doesn't use his turn signal. \n\nHe knows that you know he's turning a\xe2\x80\xa6""",London
2018-04-20 19:52:02,b' #SignsYoureInMyHometown BREAKING: #Tennesseans can buy wine and liquor on Sundays -- liquor stores can begin selling this weekend. So if yo\xe2\x80\xa6 https://t.co/IrurRMO9lS',London
2018-04-20 19:52:00,"b""RT @tri_stater: #SignsYoureInMyHometown Our best restaurant burned to the ground and it's still our best restaurant.""",London
2018-04-20 19:51:58,"b'RT @Th3lif3ofKim: #SignsYoureInMyHometown\nSalmon and most sea foods are abundant! Yummy crabs, oysters, mussels and clams'",London
2018-04-20 19:51:57,"b'No matter where you are, you can\xe2\x80\x99t where you\xe2\x80\x99re going from there... \n#SignsYoureInMyHometown'",London
2018-04-20 19:51:56,"b""#SignsYoureInMyHometown they're trying to get a wine licence and banjo playyer  at Le Shack a Patates, in #Hanmer /\xe2\x80\xa6 https://t.co/Ebx5GOu0bM""",London
2018-04-20 19:51:55,b'Pot holes.  Pot holes everywhere #SignsYoureInMyHometown',London
2018-04-20 19:51:55,b'RT @boywonderjoel: When you know everyone on the flight coming in #SignsYoureInMyHometown',London
2018-04-20 19:51:54,b'RT @ilovejambalaya: #SignsYoureInMyHometown\nThe pigeons fly upside down cos there nothing worth shitting on.',London
2018-04-20 19:51:51,b'#SignsYoureInMyHometown Rats the size of small deer.',London
2018-04-20 19:51:50,b'#SignsYoureInMyHometown\nStrip club\nStrip club\nStrip club\nLiquor store\nChinese food\nChurch',London
2018-04-20 19:51:49,"b""RT @Moon_River05: #SignsYoureInMyHometown\nYou can see my family...I'm close to the front...can you find me\xf0\x9f\x98\x92 https://t.co/aqA85aDysX""",London
2018-04-20 19:51:48,b' #SignsYoureInMyHometown RT @lizard_lou: You have to get dressed up just to go to Walmart because everyone you went to school with will be there #SignsYoureInMyHome\xe2\x80\xa6',London
2018-04-20 19:51:47,"b'RT @kBwFOXY: You feel the color gray and if you have a tan, yeah it comes right off. #SignsYoureInMyHometown'",London
2018-04-20 19:51:46,"b'RT @8873422: Placed ""dibs"" chairs in a street-parking place you shoveled out. \n\n#SignsYoureInMyHometown https://t.co/NBj5UGgMUw'",London
2018-04-20 19:51:45,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',London
2018-04-20 19:51:44,b'RT @kittykaresless: You can\xe2\x80\x99t tell anyone where you are because you can\xe2\x80\x99t spell it or pronounce it.  #SignsYoureInMyHometown https://t.co/h\xe2\x80\xa6',London
2018-04-20 19:51:44,b'RT @wwsnoopy1: #SignsYoureInMyHometown Everyone else in Canada hates us. https://t.co/8CR9uBYisH',London
2018-04-20 19:51:42,"b""RT @heyjacqui_: LeBron James is a hometown hero. Except for the 4 years with the Heat but we won't talk about that. #SignsYoureInMyHometown\xe2\x80\xa6""",London
2018-04-20 19:51:40,"b'RT @EricFromSpfld: People who ""read good"" are still considered squirrelly.  #SignsYoureInMyHometown'",London
2018-04-20 19:51:39,b'RT @Moon_River05: #SignsYoureInMyHometown\nExhibit A https://t.co/Rs1z0cFu6b',London
2018-04-20 19:51:35,"b"" #SignsYoureInMyHometown Someone asks you if you're an Emmons. (It's a very local insult, and you would be offended if it was even suggested\xe2\x80\xa6 https://t.co/uAMB6rZ31O""",London
2018-04-20 19:51:34,"b""RT @RoeGhost: When you've driven past more farm tractors than cars\n#SignsYoureInMyHometown""",London
2018-04-20 19:51:32,"b""#SignsYoureInMyHometown\nYou're perplexed by all the prisons..\n\nKingston Ontario Canada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n#ygk""",London
2018-04-20 19:51:30,"b""#SignsYoureInMyHomeTown\n\nYou've increased the population from 7, to 8.""",London
2018-04-20 19:51:29,b'#SignsYoureInMyHometown Our local dish is Stottie cake (A large bread bun) and hot dog sausages. https://t.co/RRaRfeOf4K',London
2018-04-20 19:51:27,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",London
2018-04-20 19:51:27,b'#SignsYoureInMyHometown the #pubs or #bars are always full!! #Irish #Ireland #craic #fun #party #enjoy',London
2018-04-20 19:51:25,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWith a few rubs, all your wishes can come true! https://t.co/PauH1J92hW'",London
2018-04-20 19:51:25,b'You had better roll with the punches #SignsYoureInMyHometown https://t.co/grft1KcRUH',London
2018-04-20 19:51:24,"b""#SignsYoureInMyHometown you'll see a bunch of cockroaches marching down the streets demanding better housing""",London
2018-04-20 19:51:21,"b""RT @SlickN1982: We're all smiles. #signsyoureinmyhometown https://t.co/OXMShenqeB""",London
2018-04-20 19:51:18,"b""RT @thoughtfloss: You're in New Hampshire, but you see more Mass plates than NH ones. #SignsYoureInMyHometown""",London
2018-04-20 19:51:14,b'RT @TomSharpTags: #SignsYoureInMyHometown Comic Con insanity in mid July!\nPeople are in costumes all around the city. No hotel rooms are av\xe2\x80\xa6',London
2018-04-20 19:51:13,b'RT @unkiejayjay: You take LSD to get from uptown to downtown.\n#SignsYoureInMyHometown',London
2018-04-20 19:51:11,b'#SignsYoureInMyHometown I finally will get to meet you; referring to my fave bands #KeepItTogether https://t.co/UIQiZU106q',London
2018-04-20 19:51:10,b'RT @Jennife83990369: #SignsYoureInMyHometown The stars at night are big n bright deep in the heart.....of my hometown\xf0\x9f\x92\x99 https://t.co/P5gkpd0\xe2\x80\xa6',London
2018-04-20 19:51:09,b'Swing Bridge open !!#SignsYoureInMyHometown',London
2018-04-20 19:51:09,b'RT @just4hashtags: You definitely can spot the out of towners #SignsYoureInMyHometown https://t.co/iatseKgXxJ',London
2018-04-20 19:51:09,"b' #SignsYoureInMyHometown RT @Youz_guyz: You invariably end up pronouncing every street name incorrectly, as evidenced by strangers constantly correcting you.  #Sign\xe2\x80\xa6'",London
2018-04-20 19:51:04,"b""#SignsYoureInMyHometown\nChildren are playing outside, but they're all on leashes.""",London
2018-04-20 19:51:02,b' #SignsYoureInMyHometown You\xe2\x80\x99ll hear dueling banjos &amp; you\xe2\x80\x99ll be complimented by a man with few teeth saying that you have a pretty mouth as\xe2\x80\xa6 https://t.co/Mn10KSFWH2',London
2018-04-20 19:51:01,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWith a few rubs, all your wishes can come true! https://t.co/PauH1J92hW'",London
2018-04-20 19:51:00,"b""#SignsYoureInMyHometown You'll Find the doctor in the catacombs avoiding the Cloister Wraith's""",London
2018-04-20 19:50:59,b'RT @tweetsbyeddie: Slow walking tourist everywhere! \xf0\x9f\xa4\xa6\n#SignsYoureInMyHometown https://t.co/YfL3NC6nyC',London
2018-04-20 19:50:59,b'RT @anthonyaqui619: You have second thoughts about driving into Tijuana #SignsYoureInMyHometown',London
2018-04-20 19:50:57,"b""There's an overwhelming amount of cattle. When the stench of manure hits you, you'll know you're in my turf. #SignsYoureInMyHometown""",London
2018-04-20 19:50:56,b'#SignsYoureInMyHometown everyone says they hate it yet they never leave!',London
2018-04-20 19:50:55,"b""You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",London
2018-04-20 19:50:52,"b""#SignsYoureInMyHometown It is April 20th and your finally putting away you're winter coat for the season\xf0\x9f\xa4\x9e\xf0\x9f\x99\x8f.""",London
2018-04-20 19:50:52,"b'You can ask, ""Which way to the waterfall?"" and if people point in every direction, they will all be correct. #SignsYoureInMyHometown'",London
2018-04-20 19:50:48,b'RT @LievensATweet: You see me in your bedroom window at night. #SignsYoureInMyHometown',London
2018-04-20 19:50:47,b'RT @ricosuave60: #SignsYoureInMyHometown You might run into my father buying cigarettes. He went to get them 33 years ago.',London
2018-04-20 19:50:46,"b""RT @KattFunny: #SignsYoureInMyHometown\nIf you follow the actual rules of the road, you'll get honked at by angry motorists.""",London
2018-04-20 19:50:46,"b""RT @Franklyaghost: #SignsYoureInMyHometown You are stuck on the ring road and you won't be going anywhere any time soon.""",London
2018-04-20 19:50:44,b'We welcome you to the City of Good Neighbors\n\n#SignsYoureInMyHometown https://t.co/wC5n7Dig4M',London
2018-04-20 19:50:44,b'You take LSD to get from uptown to downtown.\n#SignsYoureInMyHometown',London
2018-04-20 19:50:43,"b""We don't have a good mall #SignsYoureInMyHometown https://t.co/UFIBz5VuIq""",London
2018-04-20 19:50:43,b'RT @GretelSugar: Earl Grey looks down on everyone  #SignsYoureInMyHometown https://t.co/d7fiAESgrH',London
2018-04-20 19:50:40,b'RT @Ladyfish666: #SignsYoureInMyHometown The people are wicked smaht. https://t.co/VKLvGIJLMJ',London
2018-04-20 19:50:40,b'#SignsYoureInMyHometown you are sweating in February at Mardi Gras.',London
2018-04-20 19:50:38,b'#SignsYoureInMyHometown\nOn Saturday night the frisbee players on main street step aside to let cars pass cuz appare\xe2\x80\xa6 https://t.co/jJ0Htnifqy',London
2018-04-20 19:50:37,"b""RT @HappyHourTags: You'll find the Best. Damn. Barbecue. Anywhere. #SignsYoureInMyHometown https://t.co/ZFLnNUhGuG""",London
2018-04-20 19:50:34,b'RT @laughingskull59: Not many women...\n#SignsYoureInMyHometown https://t.co/MADl4P0ONR',London
2018-04-20 19:50:33,b'RT @jswilliams1962: There\xe2\x80\x99s rednecks everywhere \n\n#SignsYoureInMyHometown',London
2018-04-20 19:50:30,"b""There's always a cooler of beer somewhere. #signsyoureinmyhometown https://t.co/jjgz0g6DG0""",London
2018-04-20 19:50:29,b'RT @MrRaceBannon: Everyone apologizes to you #SignsYoureInMyHometown https://t.co/OuG9sgv7U1',London
2018-04-20 19:50:28,b'RT @kittykaresless: You can\xe2\x80\x99t tell anyone where you are because you can\xe2\x80\x99t spell it or pronounce it.  #SignsYoureInMyHometown https://t.co/h\xe2\x80\xa6',London
2018-04-20 19:50:27,b'RT @savvysuzee: The city limits sign is back-to-back. #SignsYoureInMyHometown',London
2018-04-20 19:50:26,b'#SignsYoureInMyHometown\nThe raccoons are vastly overweight.',London
2018-04-20 19:50:25,b'All those fucking windmills... #SignsYoureInMyHometown https://t.co/xkebbsPghj',London
2018-04-20 19:50:25,b'RT @tlcprincess: Poutine is everywhere #SignsYoureInMyHometown https://t.co/6T4XnBmeKs',London
2018-04-20 19:50:25,b'#SignsYoureInMyHometown\nEverything closes at 10 pm',London
2018-04-20 19:50:24,b'RT @chasfax: @gilesfgb #SignsYoureInMyHomeTown The car parks themselves are among the leading historical attractions. https://t.co/Frcn0PJH\xe2\x80\xa6',London
2018-04-20 19:50:24,"b""RT @RachelPGWeiss: There's Mexican Food everywhere. #SignsYoureInMyHometown""",London
2018-04-20 19:50:23,b'#SignsYoureInMyHometown Seriously! You;re the only one there! https://t.co/UjcTHyCo7S',London
2018-04-20 19:50:22,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWith a few rubs, all your wishes can come true! https://t.co/PauH1J92hW'",London
2018-04-20 19:50:21,b'RT @savvysuzee: Everybody waves to each other! #SignsYoureInMyHometown',London
2018-04-20 19:50:21,b'RT @WonderKat365: #SignsYoureInMyHometown everyone is doing crazy hand gestures \xe2\x9d\xa4\xf0\x9f\x8c\xb0 https://t.co/hD4XBBckam',London
2018-04-20 19:50:18,b'RT @swissmistress: You blinked and drove right past it #SignsYoureInMyHometown',London
2018-04-20 19:50:16,b'RT @savvysuzee: The cows get tipsy. #SignsYoureInMyHometown https://t.co/BYfYqv65BS',London
2018-04-20 19:50:14,b'RT @VeldLot: When you bump into a parade last sunday of august. Those are  #SignsYoureInMyHometown https://t.co/LNoUXvaf9Q',London
2018-04-20 19:50:13,b'#SignsYoureInMyHometown \n\nThe Bluegrass welcomes you... https://t.co/S7Hw95ByDo',London
2018-04-20 19:50:09,"b'RT @HelenMaryMe: #SignsYoureInMyHometown\n\nYou get mugged when you stop to take a picture of the Empire State Building, but a passing Good S\xe2\x80\xa6'",London
2018-04-20 19:50:03,b'RT @viewfrommyoffic: #SignsYoureInMyHometown  It is still snow covered in April',London
2018-04-20 19:50:02,b'RT @swissmistress: You blinked and drove right past it #SignsYoureInMyHometown',London
2018-04-20 19:49:58,b'RT @sunkisseeddd: #SignsYoureInMyHometown\nThe view is breathtaking https://t.co/zeLkaPuML2',London
2018-04-20 19:49:55,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',London
2018-04-20 19:49:53,"b""RT @RoeGhost: When you've driven past more farm tractors than cars\n#SignsYoureInMyHometown""",London
2018-04-20 19:49:53,"b'#SignsYoureInMyHometown - our owner, @NickCarita says, ""Wawa\'s on ever corner!"" #Philadelphia'",London
2018-04-20 19:49:52,"b""RT @dethbycofee: #SignsYoureInMyHometown\n\nYou're greeted by a large rat https://t.co/8itGuNFJlK""",London
2018-04-20 19:49:52,b'RT @robyndwoskin: Potholes are everywhere!#SignsYoureInMyHometown https://t.co/Jyaa6FHpW4',London
2018-04-20 19:49:45,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',London
2018-04-20 19:49:43,b'RT @jimishbathia: Nobody gives indicators before turning \n#SignsYoureInMyHometown',London
2018-04-20 19:49:39,b'@gilesfgb #SignsYoureInMyHomeTown The car parks themselves are among the leading historical attractions. https://t.co/Frcn0PJHTX',London
2018-04-20 19:49:39,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',London
2018-04-20 19:49:36,"b""#SignsYoureInMyHometown You are stuck on the ring road and you won't be going anywhere any time soon.""",London
